Deep Orange	deeporange	#EC7C25	RAL
Deep Pink	deeppink	#FF1493	CSS
Deep Saffron	deepsaffron	#FF9933	Wikipedia
Deep Sky Blue	deepskyblue	#00BFFF	CSS
Deep Space Sparkle	deepspacesparkle	#4A646C	Wikipedia
Deep Taupe	deeptaupe	#7E5E60	Wikipedia
Denim	denim	#1560BD	Crayola
Denim Blue	denimblue	#2243B6	Wikipedia
Desert	desert	#C19A6B	Wikipedia
Desert Sand	desertsand	#EDC9AF	Crayola
Dim Gray	dimgray	#696969	CSS
Dim Grey	dimgrey	#696969	CSS
Dingy Dungeon	dingydungeon	#C53151	Wikipedia
Dirt	dirt	#9B7653	Wikipedia
Distant Blue	distantblue	#4D668E	RAL
Dodger Blue	dodgerblue	#1E90FF	CSS
Dogwood Rose	dogwoodrose	#D71868	Wikipedia
Drab Dark Brown	drabdarkbrown	#4A412A	Wikipedia
Duke Blue	dukeblue	#00009C	Wikipedia
Dusty Grey	dustygrey	#7C7F7E	RAL
Dutch White	dutchwhite	#EFDFBB	Wikipedia
Earth Yellow	earthyellow	#E1A95F	Wikipedia
Ebony	ebony	#555D50	Wikipedia
Ecru	ecru	#C2B280	Wikipedia
Eerie Black	eerieblack	#1B1B1B	Wikipedia
Eggplant	eggplant	#614051	Crayola
Eggshell	eggshell	#F0EAD6	Wikipedia
Egyptian Blue	egyptianblue	#1034A6	Wikipedia
Electric Blue	electricblue	#7DF9FF	Wikipedia
Electric Indigo	electricindigo	#6F00FF	Wikipedia
Electric Lime	electriclime	#CCFF00	Wikipedia
Electric Purple	electricpurple	#BF00FF	Wikipedia
Electric Violet	electricviolet	#8F00FF	Wikipedia
Emerald	emerald	#50C878	Wikipedia
Emerald Green	emeraldgreen	#28713E	RAL
Eminence	eminence	#6C3082	Wikipedia
English Lavender	englishlavender	#B48395	Wikipedia
English Red	englishred	#AB4B52	Wikipedia
English Vermilion	englishvermilion	#CC474B	Crayola
English Vermillion	englishvermillion	#CC474B	Wikipedia
English Violet	englishviolet	#563C5C	Wikipedia
Erin	erin	#00FF40	Wikipedia
Eton Blue	etonblue	#96C8A2	Wikipedia
Eucalyptus	eucalyptus	#44D7A8	Wikipedia
Fallow	fallow	#C19A6B	Wikipedia
Falu Red	falured	#801818	Wikipedia
Fandango	fandango	#B53389	Wikipedia
Fandango Pink	fandangopink	#DE5285	Wikipedia
Fashion Fuchsia	fashionfuchsia	#F400A1	Wikipedia
Fawn	fawn	#E5AA70	Wikipedia
Fawn Brown	fawnbrown	#6F4A2F	RAL
Feldgrau	feldgrau	#4D5D53	Wikipedia
Fern	fern	#63B76C	Crayola
Fern Green	ferngreen	#4F7942	RAL
Field Drab	fielddrab	#6C541E	Wikipedia
Fiery Rose	fieryrose	#FF5470	Wikipedia
Finn	finn	#683068	Wikipedia
Fir Green	firgreen	#26392F	RAL
Fire Engine Red	fireenginered	#CE2029	Wikipedia
Fire Opal	fireopal	#E95C4B	Wikipedia
Firebrick	firebrick	#B22222	CSS
Flame	flame	#E25822	Wikipedia
Flame Red	flamered	#AB2524	RAL
Flax	flax	#EEDC82	Wikipedia
Flirt	flirt	#A2006D	Wikipedia
Floral White	floralwhite	#FFFAF0	CSS
Fluorescent Blue	fluorescentblue	#15F4EE	Wikipedia
Forest Green	forestgreen	#228B22	CSS
French Beige	frenchbeige	#A67B5B	Wikipedia
French Bistre	frenchbistre	#856D4D	Wikipedia
French Blue	frenchblue	#0072BB	Wikipedia
French Fuchsia	frenchfuchsia	#FD3F92	Wikipedia
French Lilac	frenchlilac	#86608E	Wikipedia
French Lime	frenchlime	#9EFD38	Wikipedia
French Mauve	frenchmauve	#D473D4	Wikipedia
French Pink	frenchpink	#FD6C9E	Wikipedia
French Raspberry	frenchraspberry	#C72C48	Wikipedia
French Rose	frenchrose	#F64A8A	Wikipedia
French Sky Blue	frenchskyblue	#77B5FE	Wikipedia
French Violet	frenchviolet	#8806CE	Wikipedia
Frostbite	frostbite	#E936A7	Wikipedia
Fuchsia	fuchsia	#FF00FF	CSS
Fuchsia Purple	fuchsiapurple	#CC397B	Wikipedia
Fuchsia Rose	fuchsiarose	#C74375	Wikipedia
Fulvous	fulvous	#E48400	Wikipedia
Fuzzy Wuzzy	fuzzywuzzy	#87421F	Crayola
GO Green	gogreen	#00AB66	Wikipedia
Gainsboro	gainsboro	#DCDCDC	CSS
Gamboge	gamboge	#E49B0F	Wikipedia
Garnet	garnet	#733635	Wikipedia
Generic Viridian	genericviridian	#007F66	Wikipedia
Gentian Blue	gentianblue	#13447C	RAL
Ghost White	ghostwhite	#F8F8FF	CSS
Glaucous	glaucous	#6082B6	Wikipedia
Glossy Grape	glossygrape	#AB92B3	Wikipedia
Gold	gold	#FFD700	CSS
Gold Fusion	goldfusion	#85754E	Wikipedia
Golden Brown	goldenbrown	#996515	Wikipedia
Golden Poppy	goldenpoppy	#FCC200	Wikipedia
Golden Yellow	goldenyellow	#FFDF00	RAL
Goldenrod	goldenrod	#DAA520	CSS
Gotham Green	gothamgreen	#00573F	Wikipedia
Granite Gray	granitegray	#676767	Wikipedia
Granite Grey	granitegrey	#374447	RAL
Granny Smith Apple	grannysmithapple	#A8E4A0	Crayola
Graphite Black	graphiteblack	#292C2F	RAL
Graphite Grey	graphitegrey	#474A50	RAL
Grass Green	grassgreen	#3E753B	RAL
Gray	gray	#808080	CSS
Green	green	#008000	CSS
Green Beige	greenbeige	#CDBA88	RAL
Green Brown	greenbrown	#887142	RAL
Green Grey	greengrey	#5B6259	RAL
Green Lizard	greenlizard	#A7F432	Wikipedia
Green Sheen	greensheen	#6EAEA1	Wikipedia
Green Yellow	greenyellow	#ADFF2F	CSS
Green-blue	greenblue	#1164B4	RAL
Green-cyan	greencyan	#009966	Wikipedia
Greenyellow	greenyellow	#ADFF2F	CSS
Grey	grey	#808080	CSS
Grey Aluminium	greyaluminium	#8F8F8C	RAL
Grey Beige	greybeige	#A48F7A	RAL
Grey Blue	greyblue	#313C48	RAL
Grey Brown	greybrown	#3F3A3A	RAL
Grey Olive	greyolive	#40433B	RAL
Grey White	greywhite	#DDDED4	RAL
Grullo	grullo	#A99A86	Wikipedia
Gunmetal	gunmetal	#2a3439	Wikipedia
Han Blue	hanblue	#446CCF	Wikipedia
Han Purple	hanpurple	#5218FA	Wikipedia
Hansa Yellow	hansayellow	#E9D66B	Wikipedia
Harlequin	harlequin	#3FFF00	Wikipedia
Harvest Gold	harvestgold	#DA9100	Wikipedia
Heat Wave	heatwave	#FF7A00	Wikipedia
Heather Violet	heatherviolet	#D15B8F	RAL
Heliotrope	heliotrope	#DF73FF	Wikipedia
Heliotrope Gray	heliotropegray	#AA98A9	Wikipedia
Hollywood Cerise	hollywoodcerise	#F400A1	Wikipedia
Honey Yellow	honeyyellow	#CB8E00	RAL
Honeydew	honeydew	#F0FFF0	CSS
Honolulu Blue	honolulublue	#006DB0	Wikipedia
Hooker's Green	hookersgreen	#49796B	Wikipedia
Hot Fuchsia	hotfuchsia	#FF00C6	Wikipedia
Hot Magenta	hotmagenta	#FF1DCE	Wikipedia
Hot Pink	hotpink	#FF69B4	CSS
Hotpink	hotpink	#FF69B4	CSS
Hunter Green	huntergreen	#355E3B	Wikipedia
Iceberg	iceberg	#71A6D2	Wikipedia
Icterine	icterine	#FCF75E	Wikipedia
Illuminating Emerald	illuminatingemerald	#319177	Wikipedia
Imperial Red	imperialred	#ED2939	Wikipedia
Inchworm	inchworm	#B2EC5D	Wikipedia
Independence	independence	#4C516D	Wikipedia
India Green	indiagreen	#138808	Wikipedia
Indian Red	indianred	#CD5C5C	CSS
Indian Yellow	indianyellow	#E3A857	Wikipedia
Indigo	indigo	#4B0082	CSS
Indigo Dye	indigodye	#00416A	Wikipedia
International Klein Blue	internationalkleinblue	#130a8f	Wikipedia
International Orange	internationalorange	#BA160C	Wikipedia
Iris	iris	#5A4FCF	Wikipedia
Iron Grey	irongrey	#555D61	RAL
Irresistible	irresistible	#B3446C	Wikipedia
Isabelline	isabelline	#F4F0EC	Wikipedia
Italian Sky Blue	italianskyblue	#B2FFFF	Wikipedia
Ivory	ivory	#FFFFF0	CSS
Jade	jade	#00A86B	Wikipedia
Japanese Carmine	japanesecarmine	#9D2933	Wikipedia
Japanese Violet	japaneseviolet	#5B3256	Wikipedia
Jasmine	jasmine	#F8DE7E	Wikipedia
Jazzberry Jam	jazzberryjam	#A50B5E	Crayola
Jet	jet	#343434	Wikipedia
Jet Black	jetblack	#0A0A0D	RAL
Jonquil	jonquil	#F4CA16	Wikipedia
June Bud	junebud	#BDDA57	Wikipedia
Jungle Green	junglegreen	#29AB87	Crayola
KSU Purple	ksupurple	#512888	Wikipedia
Kelly Green	kellygreen	#4CBB17	Wikipedia
Keppel	keppel	#3AB09E	Wikipedia
Key Lime	keylime	#E8F48C	Wikipedia
Khaki	khaki	#F0E68C	CSS
Khaki Grey	khakigrey	#746643	RAL
Kobe	kobe	#882D17	Wikipedia
Kobi	kobi	#E79FC4	Wikipedia
Kobicha	kobicha	#6B4423	Wikipedia
Kombu Green	kombugreen	#354230	Wikipedia
La Salle Green	lasallegreen	#087830	Wikipedia
Languid Lavender	languidlavender	#D6CADD	Wikipedia
Lanzones	lanzones	#E0BC5B	Wikipedia
Lapis Lazuli	lapislazuli	#26619C	Wikipedia
Laser Lemon	laserlemon	#FFFF66	Wikipedia
Laurel Green	laurelgreen	#A9BA9D	Wikipedia
Lava	lava	#CF1020	Wikipedia
Lavender	lavender	#E6E6FA	CSS
Lavender Blue	lavenderblue	#CCCCFF	Wikipedia
Lavender Blush	lavenderblush	#FFF0F5	CSS
Lavender Gray	lavendergray	#C4C3D0	Wikipedia
Lavender Indigo	lavenderindigo	#9457EB	Wikipedia
Lavender Magenta	lavendermagenta	#EE82EE	Wikipedia
Lavender Mist	lavendermist	#E6E6FA	Wikipedia
Lavender Purple	lavenderpurple	#967BB6	Wikipedia
Lavender Rose	lavenderrose	#FBA0E3	Wikipedia
Lawn Green	lawngreen	#7CFC00	CSS
Leaf Green	leafgreen	#276235	RAL
Lemon	lemon	#FFF700	Wikipedia
Lemon Chiffon	lemonchiffon	#FFFACD	CSS
Lemon Curry	lemoncurry	#CCA01D	Wikipedia
Lemon Glacier	lemonglacier	#FDFF00	Wikipedia
Lemon Iced Tea	lemonicedtea	#BD3000	Wikipedia
Lemon Lime	lemonlime	#E3FF00	Wikipedia
Lemon Meringue	lemonmeringue	#F6EABE	Wikipedia
Lemon Yellow	lemonyellow	#FFF44F	RAL
Liberty	liberty	#545AA7	Wikipedia
Licorice	licorice	#1A1110	Wikipedia
Light Blue	lightblue	#ADD8E6	CSS
Light Brown	lightbrown	#B5651D	Wikipedia
Light Carmine Pink	lightcarminepink	#E66771	Wikipedia
Light Chocolate Cosmos	lightchocolatecosmos	#551F2F	Wikipedia
Light Chrome Green	lightchromegreen	#BEE64B	Crayola
Light Cobalt Blue	lightcobaltblue	#88ACE0	Wikipedia
Light Coral	lightcoral	#F08080	CSS
Light Cornflower Blue	lightcornflowerblue	#93CCEA	Wikipedia
Light Crimson	lightcrimson	#F56991	Wikipedia
Light Cyan	lightcyan	#E0FFFF	CSS
Light French Beige	lightfrenchbeige	#C8AD7F	Wikipedia
Light Fuchsia Pink	lightfuchsiapink	#F984EF	Wikipedia
Light Gold	lightgold	#B29700	Wikipedia
Light Goldenrod Yellow	lightgoldenrodyellow	#FAFAD2	CSS
Light Gray	lightgray	#D3D3D3	CSS
Light Grayish Magenta	lightgrayishmagenta	#CC99CC	Wikipedia
